RespondentNr;StimulusNr;timestamp ms;Gaze x %;Gaze y %
0;0;0;0.267;0.44
0;0;22;0.268;0.44
0;0;67;0.298;0.441
0;0;163;0.299;0.436
0;0;195;0.297;0.436
0;0;262;0.296;0.424
0;0;293;0.322;0.378
0;0;329;0.34;0.354
0;0;392;0.403;0.237
0;0;426;0.422;0.233
0;0;462;0.43;0.235
0;0;530;0.435;0.23
0;0;561;0.439;0.225
0;0;596;0.433;0.227
0;0;663;0.43;0.222
0;0;693;0.311;0.136
0;0;761;0.299;0.13
0;0;801;0.327;0.125
0;0;859;0.335;0.114
0;0;893;0.302;0.103
0;0;926;0.22;0.087
0;0;995;0.203;0.084
0;0;1028;0.223;0.089
0;0;1061;0.522;0.221
0;0;1095;0.513;0.232
0;0;1130;0.481;0.162
0;0;1194;0.549;0.416
0;0;1229;0.835;1.049
0;0;1393;0.762;0.994
0;0;1427;0.689;0.923
0;0;1468;0.816;0.91
0;0;1528;0.757;0.818
0;0;1594;0.561;0.817
0;0;1628;0.532;0.816
0;0;1696;0.609;0.709
0;0;1728;0.495;0.67
0;0;1797;0.587;0.738
0;0;1826;0.596;0.74
0;0;1860;0.588;0.739
0;0;1895;0.597;0.735
0;0;1929;0.599;0.734
0;0;1962;0.602;0.733
0;0;1994;0.61;0.732
0;0;2062;0.701;0.522
0;0;2126;0.716;0.542
0;0;2168;0.544;1.041
0;0;2261;0.665;1.042
0;0;2329;0.636;0.625
0;0;2361;0.745;0.427
0;0;2428;0.573;0.168
0;0;2461;0.459;0.165
0;0;2492;0.428;0.17
0;0;2560;0.465;0.167
0;0;2592;0.604;0.202
0;0;2660;0.604;0.195
0;0;2694;0.615;0.189
0;0;2727;0.447;0.083
0;0;2794;0.471;0.162
0;0;2827;0.468;0.161
0;0;2863;0.527;-0.001
0;0;2929;0.117;0.027
0;0;2993;0.274;0.003
0;0;3030;0.297;0
0;0;3096;0.313;-0.001
0;0;3163;0.32;0
0;0;3193;0.324;-0.001
0;0;3226;0.329;-0.001
0;0;3261;0.334;-0.001
0;0;3296;0.337;-0.001
0;0;3360;0.337;-0.001
0;0;3394;0.339;-0.001
0;0;3426;0.337;-0.001
0;0;3460;0.332;-0.001
0;0;3494;0.325;-0.001
0;0;3528;0.317;0
0;0;3564;0.314;-0.001
0;0;3595;0.311;-0.001
0;0;3628;0.309;-0.001
0;0;3661;0.302;-0.001
0;0;3695;0.274;-0.001
0;0;3730;0.256;-0.001
0;0;3762;0.243;-0.001
0;0;3792;0.607;0.003
0;0;3827;0.616;0.001
0;0;3861;0.61;0
0;0;3892;0.597;0
0;0;3930;0.589;0
0;0;3963;0.585;-0.001
0;0;3994;0.587;-0.001
0;0;4060;0.592;-0.001
0;0;4094;0.6;-0.002
0;0;4145;0.603;-0.002
0;0;4193;0.599;-0.002
0;0;4228;0.592;-0.003
0;0;4292;0.556;-0.003
0;0;4326;0.524;-0.003
0;0;4380;0.46;-0.002
0;0;4430;0.352;0.01
0;0;4462;0.346;0.042
0;0;4529;0.34;0.041
0;0;4561;0.348;0.068
0;0;4628;0.587;0.102
0;0;4663;0.582;0.097
0;0;4695;0.583;0.103
0;0;4762;0.575;0.109
0;1;0;0.427;0.187
0;1;29;0.505;0.035
0;1;92;0.439;0.156
0;1;157;0.539;0.136
0;1;192;0.413;0.184
0;1;259;0.551;0.151
0;1;291;0.511;0.158
0;1;343;0.32;0.186
0;1;393;0.317;0.187
0;1;424;0.305;0.193
0;1;457;0.293;0.205
0;1;493;0.488;0.397
0;1;522;0.573;0.543
0;1;576;0.599;0.563
0;1;624;0.618;0.561
0;1;658;0.646;0.58
0;1;690;0.659;0.583
0;1;725;0.666;0.579
0;1;791;0.32;0.52
0;1;857;0.294;0.521
0;1;892;0.292;0.543
0;1;926;0.262;0.558
0;1;991;0.234;0.539
0;1;1022;0.175;0.515
0;1;1091;0.174;0.512
0;1;1158;0.163;0.508
0;1;1190;0.157;0.506
0;1;1225;0.154;0.507
0;1;1258;0.194;0.441
0;1;1290;0.192;0.442
0;1;1365;0.274;0.364
0;1;1425;0.277;0.358
0;1;1492;0.277;0.349
0;1;1526;0.28;0.342
0;1;1590;0.284;0.332
0;1;1657;0.561;0.33
0;1;1690;0.569;0.333
0;1;1758;0.565;0.329
0;1;1791;0.563;0.33
0;1;1825;0.555;0.33
0;1;1858;0.549;0.328
0;1;1925;0.539;0.319
0;1;1958;0.537;0.317
0;1;1990;0.538;0.303
0;1;2025;0.464;0.205
0;1;2058;0.455;0.192
0;1;2090;0.46;0.181
0;1;2160;0.455;0.174
0;1;2225;0.43;0.159
0;1;2258;0.361;0.135
0;1;2306;0.291;0.125
0;1;2342;0.221;0.254
0;1;2376;0.515;0.507
0;1;2424;0.65;0.532
0;1;2459;0.774;0.52
0;1;2527;0.757;0.504
0;1;2575;0.766;0.502
0;1;2626;0.766;0.497
0;1;2658;0.764;0.495
0;1;2693;0.743;0.494
0;1;2739;0.724;0.494
0;1;2791;0.42;0.516
0;1;2842;0.265;0.507
0;1;2892;0.252;0.509
0;1;2941;0.847;1.048
0;1;3142;0.541;0.973
0;1;3210;0.383;0.813
0;1;3258;0.328;0.753
0;1;3290;0.322;0.74
0;1;3357;0.323;0.707
0;1;3391;0.348;0.674
0;1;3444;0.061;0.657
0;1;3478;0.05;0.648
0;1;3524;0.051;0.644
0;1;3592;0.289;0.566
0;1;3624;0.315;0.589
0;1;3692;0.282;0.585
0;1;3758;0.293;0.59
0;1;3792;0.295;0.588
0;1;3860;0.294;0.585
0;1;3910;0.294;0.58
0;1;3942;0.298;0.581
0;1;4007;0.292;0.577
0;1;4041;0.293;0.577
0;1;4092;0.289;0.576
0;1;4125;0.286;0.576
0;1;4162;0.293;0.572
0;1;4205;0.289;0.572
0;1;4260;0.293;0.562
0;1;4309;0.287;0.552
0;1;4358;0.294;0.546
0;1;4423;0.289;0.527
0;1;4458;0.285;0.528
0;1;4495;0.289;0.532
0;1;4541;0.285;0.53
0;1;4592;0.284;0.531
0;1;4643;0.281;0.532
0;1;4674;0.28;0.53
0;1;4758;0.451;0.393
1;0;0;0.511;0.583
1;0;72;0.516;0.439
1;0;101;0.495;0.466
1;0;156;0.454;0.483
1;0;224;0.454;0.44
1;0;255;0.499;0.442
1;0;325;0.629;0.377
1;0;358;0.607;0.369
1;0;389;0.341;0.36
1;0;456;0.425;0.376
1;0;517;0.514;0.599
1;0;549;0.517;0.587
1;0;585;0.468;0.562
1;0;650;0.473;0.565
1;0;682;0.502;0.542
1;0;718;0.482;0.53
1;0;785;0.525;0.582
1;0;815;0.493;0.576
1;0;888;0.444;0.533
1;0;917;0.435;0.55
1;0;949;0.424;0.55
1;0;1028;0.4;0.562
1;0;1069;0.398;0.58
1;0;1116;0.424;0.554
1;0;1168;0.426;0.567
1;0;1216;0.411;0.582
1;0;1267;0.406;0.576
1;0;1318;0.379;0.517
1;0;1365;0.4;0.333
1;0;1438;0.436;0.277
1;0;1507;0.496;0.216
1;0;1575;0.419;0.15
1;0;1635;-0.001;0.164
