;RespondentNr;StimulusNr;Gaze x %;Gaze y %;gaze time ms;time stamp s
165;0;1;0.7240000000000001;0.494;52;2
166;0;1;0.42;0.516;51;2
167;0;1;0.265;0.507;50;2
168;0;1;0.252;0.509;49;2
169;0;1;0.847;1.048;201;2
170;0;1;0.541;0.973;68;3
171;0;1;0.38299999999999995;0.813;48;3
172;0;1;0.32799999999999996;0.753;32;3
173;0;1;0.322;0.74;67;3
174;0;1;0.32299999999999995;0.7070000000000001;34;3
175;0;1;0.348;0.674;53;3
176;0;1;0.061;0.657;34;3
177;0;1;0.05;0.648;46;3
178;0;1;0.051;0.644;68;3
179;0;1;0.289;0.5660000000000001;32;3
180;0;1;0.315;0.589;68;3
181;0;1;0.282;0.585;66;3
182;0;1;0.293;0.59;34;3
183;0;1;0.295;0.588;68;3
184;0;1;0.294;0.585;50;3
185;0;1;0.294;0.58;32;3
186;0;1;0.298;0.581;65;3
187;0;1;0.292;0.5770000000000001;34;4
188;0;1;0.293;0.5770000000000001;51;4
189;0;1;0.289;0.5760000000000001;33;4
190;0;1;0.28600000000000003;0.5760000000000001;37;4
191;0;1;0.293;0.5720000000000001;43;4
192;0;1;0.289;0.5720000000000001;55;4
193;0;1;0.293;0.562;49;4
194;0;1;0.287;0.552;49;4
195;0;1;0.294;0.546;65;4
196;0;1;0.289;0.527;35;4
197;0;1;0.285;0.528;37;4
198;0;1;0.289;0.532;46;4
199;0;1;0.285;0.53;51;4
200;0;1;0.284;0.531;51;4
201;0;1;0.281;0.532;31;4
202;0;1;0.28;0.53;84;4
203;0;1;0.451;0.39299999999999996;-4758;4
204;1;0;0.511;0.583;72;0
205;1;0;0.516;0.439;29;0
206;1;0;0.495;0.466;55;0
207;1;0;0.45399999999999996;0.483;68;0
208;1;0;0.45399999999999996;0.44;31;0
209;1;0;0.499;0.442;70;0
210;1;0;0.629;0.377;33;0
211;1;0;0.607;0.369;31;0
212;1;0;0.341;0.36;67;0
213;1;0;0.425;0.376;61;0
214;1;0;0.514;0.599;32;0
215;1;0;0.517;0.5870000000000001;36;0
216;1;0;0.46799999999999997;0.562;65;0
217;1;0;0.473;0.565;32;0
218;1;0;0.502;0.542;36;0
219;1;0;0.48200000000000004;0.53;67;0
220;1;0;0.525;0.5820000000000001;30;0
221;1;0;0.493;0.5760000000000001;73;0
222;1;0;0.444;0.5329999999999999;29;0
223;1;0;0.435;0.55;32;0
224;1;0;0.424;0.55;79;0
225;1;0;0.4;0.562;41;1
226;1;0;0.39799999999999996;0.58;47;1
227;1;0;0.424;0.5539999999999999;52;1
228;1;0;0.426;0.5670000000000001;48;1
229;1;0;0.41100000000000003;0.5820000000000001;51;1
230;1;0;0.406;0.5760000000000001;51;1
231;1;0;0.379;0.517;47;1
232;1;0;0.4;0.33299999999999996;73;1
233;1;0;0.436;0.27699999999999997;69;1
234;1;0;0.496;0.21600000000000003;68;1
235;1;0;0.419;0.15;60;1
236;1;0;-0.001;0.16399999999999998;73;1
237;1;0;0.35600000000000004;0.092;34;1
238;1;0;0.284;0.079;47;1
239;1;0;0.24;0.10099999999999999;30;1
240;1;0;0.156;0.102;81;1
241;1;0;0.133;0.085;35;1
242;1;0;0.11;0.083;65;1
243;1;0;0.098;0.08;32;2
244;1;0;0.026000000000000002;0.095;65;2
245;1;0;-0.001;0.10400000000000001;34;2
246;1;0;0.079;0.09300000000000001;67;2
247;1;0;0.077;0.114;33;2
248;1;0;0.094;0.121;36;2
249;1;0;0.132;0.131;69;2
250;1;0;0.153;0.121;50;2
251;1;0;0.26;0.142;65;2
252;1;0;0.401;0.127;32;2
253;1;0;0.557;0.11699999999999999;60;2
254;1;0;0.564;0.10400000000000001;46;2
255;1;0;0.574;0.109;65;2
256;1;0;0.591;0.131;36;2
257;1;0;0.565;0.149;65;2
258;1;0;0.544;0.158;70;2
259;1;0;0.54;0.159;36;2
260;1;0;0.5429999999999999;0.16399999999999998;26;2
261;1;0;0.57;0.183;69;2
262;1;0;0.565;0.221;64;2
263;1;0;0.5920000000000001;0.226;70;3
264;1;0;0.637;0.276;60;3
265;1;0;0.768;0.429;38;3
266;1;0;0.78;0.42200000000000004;29;3
267;1;0;0.768;0.40399999999999997;69;3
268;1;0;0.763;0.376;32;3
269;1;0;0.76;0.35600000000000004;34;3
270;1;0;0.752;0.319;31;3
271;1;0;0.7190000000000001;0.28300000000000003;52;3
272;1;0;0.667;0.28;54;3
273;1;0;0.667;0.248;41;3
274;1;0;0.6709999999999999;0.245;26;3
275;1;0;0.6759999999999999;0.254;61;3
276;1;0;0.65;0.22899999999999998;52;3
277;1;0;0.573;0.263;59;3
278;1;0;0.537;0.38799999999999996;45;3
279;1;0;0.493;0.377;62;3
280;1;0;0.441;0.358;45;3
281;1;0;0.433;0.349;29;3
282;1;0;0.43799999999999994;0.354;31;3
283;1;0;0.46299999999999997;0.34600000000000003;33;3
284;1;0;0.48;0.34700000000000003;60;3
285;1;0;0.47700000000000004;0.33899999999999997;66;4
286;1;0;0.48;0.332;73;4
287;1;0;0.489;0.33799999999999997;33;4
288;1;0;0.499;0.341;61;4
289;1;0;0.506;0.345;36;4
290;1;0;0.517;0.35100000000000003;39;4
291;1;0;0.512;0.35200000000000004;59;4
292;1;0;0.531;0.358;43;4
293;1;0;0.5489999999999999;0.365;62;4
294;1;0;0.5579999999999999;0.364;67;4
295;1;0;0.563;0.364;65;4
296;1;0;0.564;0.35700000000000004;68;4
297;1;0;0.552;0.358;32;4
298;1;0;0.5429999999999999;0.361;-4737;4
299;1;1;0.449;0.36;0;0
300;1;1;0.43799999999999994;0.36;28;0
301;1;1;0.431;0.36;79;0
302;1;1;0.423;0.363;67;0
303;1;1;0.414;0.364;68;0
304;1;1;0.408;0.363;32;0
305;1;1;0.41;0.361;31;0
306;1;1;0.40399999999999997;0.364;72;0
307;1;1;0.39899999999999997;0.365;33;0
308;1;1;0.38799999999999996;0.365;68;0
309;1;1;0.231;0.39299999999999996;30;0
310;1;1;0.10800000000000001;0.426;68;0
311;1;1;0.034;0.485;32;0
312;1;1;0.43200000000000005;0.996;99;0
313;1;1;0.284;1.085;98;0
314;1;1;0.145;0.731;100;0
315;1;1;0.14800000000000002;0.682;97;0
316;1;1;0.121;0.657;64;1
317;1;1;0.075;0.62;54;1
318;1;1;0.040999999999999995;0.614;142;1
319;1;1;0.035;0.606;53;1
320;1;1;0.06;0.5710000000000001;28;1
321;1;1;0.14300000000000002;0.461;82;1
322;1;1;0.193;0.385;66;1
323;1;1;0.26;0.375;63;1
324;1;1;0.26899999999999996;0.359;70;1
325;1;1;0.276;0.331;32;1
326;1;1;0.267;0.312;63;1
327;1;1;0.35600000000000004;0.319;36;1
328;1;1;0.39;0.31;63;1
329;1;1;0.608;0.516;35;1
330;1;1;0.605;0.5539999999999999;31;1
331;1;1;0.585;0.5760000000000001;67;1
332;1;1;0.575;0.588;37;1
333;1;1;0.5670000000000001;0.589;69;1
334;1;1;0.581;0.583;68;2
335;1;1;0.589;0.58;33;2
336;1;1;0.5820000000000001;0.58;66;2
337;1;1;0.5760000000000001;0.58;75;2
338;1;1;0.56;0.584;28;2
339;1;1;0.557;0.586;82;2
340;1;1;0.5720000000000001;0.6;30;2
341;1;1;0.6;0.612;50;2
342;1;1;0.629;0.622;43;2
343;1;1;0.643;0.625;28;2
344;1;1;0.648;0.627;44;2
345;1;1;0.6579999999999999;0.631;71;2
346;1;1;0.672;0.639;31;2
347;1;1;0.72;0.6629999999999999;67;2
348;1;1;0.713;0.665;68;2
349;1;1;0.6890000000000001;0.6629999999999999;65;2
350;1;1;0.657;0.667;67;2
351;1;1;0.18100000000000002;0.773;68;2
352;1;1;0.175;0.7829999999999999;34;3
353;1;1;0.16899999999999998;0.8009999999999999;63;3
354;1;1;0.174;0.8109999999999999;34;3
355;1;1;0.17300000000000001;0.8140000000000001;72;3
356;1;1;0.177;0.82;35;3
357;1;1;0.18100000000000002;0.826;61;3
358;1;1;0.18600000000000003;0.8290000000000001;34;3
359;1;1;0.19399999999999998;0.8340000000000001;30;3
360;1;1;0.201;0.833;37;3
361;1;1;0.21;0.8290000000000001;65;3
362;1;1;0.218;0.828;35;3
363;1;1;0.226;0.8270000000000001;84;3
364;1;1;0.239;0.833;33;3
365;1;1;0.264;0.835;49;3
366;1;1;0.287;0.838;30;3
367;1;1;0.306;0.841;34;3
368;1;1;0.31;0.841;45;3
369;1;1;0.251;0.82;26;3
370;1;1;0.23;0.807;49;3
371;1;1;0.102;0.7390000000000001;43;3
372;1;1;0.091;0.732;53;3
373;1;1;0.077;0.72;70;3
374;1;1;0.083;0.727;34;4
375;1;1;0.084;0.7140000000000001;60;4
376;1;1;0.08900000000000001;0.703;34;4
377;1;1;0.09699999999999999;0.6920000000000001;33;4
378;1;1;0.10400000000000001;0.679;74;4
